"Offense","Offense Conference","Defense","Defense Conference","Game Id","Id","Drive Number","Scoring","Start Period","Start Yardline","Start Yards To Goal","Start Time Minutes","Start Time Seconds","End Period","End Yardline","End Yards To Goal","End Time Minutes","End Time Seconds","Elapsed Minutes","Elapsed Seconds","Plays","Yards","Drive Result","Is Home Offense","Start Offense Score","Start Defense Score","End Offense Score","End Defense Score"
"Washington","Pac-12","Arizona","Pac-12","401524021","40152402111","11","true","3","84","84","10","16","3","0","0","6","42","3","34","7","84","TD","false","21","10","28","10"
"Arizona","Pac-12","Washington","Pac-12","401524021","40152402112","12","true","3","25","75","6","42","3","100","0","3","3","3","39","7","75","TD","true","10","28","17","28"
"Washington","Pac-12","Arizona","Pac-12","401524021","40152402113","13","true","3","75","75","3","3","4","20","20","13","24","4","39","11","55","FG","false","28","17","31","17"
"Arizona","Pac-12","Washington","Pac-12","401524021","40152402114","14","false","4","25","75","13","24","4","36","64","11","39","1","45","5","11","INT","true","17","31","17","31"
"Washington","Pac-12","Arizona","Pac-12","401524021","40152402115","15","false","4","44","44","11","39","4","5","5","9","56","1","43","3","39","FUMBLE","false","31","17","31","17"
"Arizona","Pac-12","Washington","Pac-12","401524021","40152402116","16","false","4","5","95","9","56","4","54","46","4","26","5","30","13","49","DOWNS","true","17","31","17","31"
"Washington","Pac-12","Arizona","Pac-12","401524021","40152402117","17","false","4","54","54","4","26","4","58","58","3","55","0","31","3","-4","PUNT","false","31","17","31","17"
"Arizona","Pac-12","Washington","Pac-12","401524021","40152402118","18","true","4","10","90","3","55","4","100","0","1","8","2","47","11","90","TD","true","17","31","24","31"
"Washington","Pac-12","Arizona","Pac-12","401524021","40152402119","19","false","4","44","44","1","7","4","33","33","0","0","1","7","4","11","END OF GAME","false","31","24","31","24"
"Washington","Pac-12","Oregon","Pac-12","401524034","4015240341","1","false","1","25","75","15","0","1","35","65","13","18","1","42","4","10","PUNT","true","0","0","0","0"
"Oregon","Pac-12","Washington","Pac-12","401524034","4015240342","2","false","1","77","77","13","18","1","76","76","11","51","1","27","3","1","PUNT","false","0","0","0","0"
"Washington","Pac-12","Oregon","Pac-12","401524034","4015240343","3","true","1","24","76","11","51","1","100","0","10","49","1","2","4","76","TD","true","0","0","7","0"
"Oregon","Pac-12","Washington","Pac-12","401524034","4015240344","4","true","1","90","90","10","49","1","0","0","4","54","5","55","14","90","TD","false","0","7","8","7"
"Washington","Pac-12","Oregon","Pac-12","401524034","4015240345","5","true","1","25","75","4","54","1","100","0","0","46","4","8","8","75","TD","true","7","8","14","8"
"Oregon","Pac-12","Washington","Pac-12","401524034","4015240346","6","true","1","75","75","0","46","2","0","0","11","44","4","2","9","75","TD","false","8","14","15","14"
"Washington","Pac-12","Oregon","Pac-12","401524034","4015240347","7","true","2","17","83","11","44","2","100","0","5","12","6","32","12","83","TD","true","14","15","22","15"
"Oregon","Pac-12","Washington","Pac-12","401524034","4015240348","8","true","2","75","75","5","12","2","28","28","2","4","3","8","7","47","FG","false","15","22","18","22"
"Washington","Pac-12","Oregon","Pac-12","401524034","4015240349","9","false","2","35","65","2","4","2","41","59","0","55","1","9","6","6","INT","true","22","18","22","18"
"Oregon","Pac-12","Washington","Pac-12","401524034","40152403410","10","false","2","51","51","0","55","2","3","3","0","0","0","55","8","48","DOWNS","false","18","22","18","22"
"Oregon","Pac-12","Washington","Pac-12","401524034","40152403412","11","false","3","75","75","15","0","3","73","73","12","49","2","11","3","2","PUNT","false","18","22","18","22"
"Washington","Pac-12","Oregon","Pac-12","401524034","40152403413","12","true","3","35","65","12","49","3","100","0","10","31","2","18","6","65","TD","true","22","18","29","18"
"Oregon","Pac-12","Washington","Pac-12","401524034","40152403414","13","false","3","75","75","10","31","3","8","8","3","30","7","1","13","67","DOWNS","false","18","29","18","29"
"Washington","Pac-12","Oregon","Pac-12","401524034","40152403415","14","false","3","8","92","3","30","3","13","87","2","28","1","2","3","4","PUNT","true","29","18","29","18"
"Oregon","Pac-12","Washington","Pac-12","401524034","40152403416","15","true","3","50","50","2","28","3","0","0","1","36","0","52","3","50","TD","false","18","29","26","29"
"Washington","Pac-12","Oregon","Pac-12","401524034","40152403417","16","false","3","25","75","1","36","3","30","70","0","48","0","48","3","5","PUNT","true","29","26","29","26"
"Oregon","Pac-12","Washington","Pac-12","401524034","40152403418","17","true","3","80","80","0","48","4","0","0","12","58","2","50","6","80","TD","false","26","29","33","29"
"Washington","Pac-12","Oregon","Pac-12","401524034","40152403419","18","false","4","40","60","12","58","4","99","1","6","33","6","25","13","58","DOWNS","true","29","33","29","33"
"Oregon","Pac-12","Washington","Pac-12","401524034","40152403420","19","false","4","98","98","6","33","4","47","47","2","11","4","22","10","51","DOWNS","false","33","29","33","29"
"Washington","Pac-12","Oregon","Pac-12","401524034","40152403421","20","true","4","47","53","2","11","4","100","0","1","38","0","33","2","53","TD","true","29","33","36","33"
"Oregon","Pac-12","Washington","Pac-12","401524034","40152403422","21","false","4","75","75","1","38","4","25","25","0","0","1","38","10","50","MISSED FG","false","33","36","33","36"
"Arizona State","Pac-12","Washington","Pac-12","401524038","4015240381","1","false","1","76","76","14","57","1","61","61","12","47","2","10","6","15","PUNT","false","0","0","0","0"
"Washington","Pac-12","Arizona State","Pac-12","401524038","4015240382","2","false","1","15","85","12","47","1","23","77","11","20","1","27","3","8","INT","true","0","0","0","0"
"Arizona State","Pac-12","Washington","Pac-12","401524038","4015240383","3","false","1","45","45","11","20","1","13","13","8","12","3","8","8","32","MISSED FG","false","0","0","0","0"
"Washington","Pac-12","Arizona State","Pac-12","401524038","4015240384","4","false","1","20","80","8","12","1","46","54","6","17","1","55","5","26","PUNT","true","0","0","0","0"
