t,stim,y0,y1,y2,y3
27.106966249999996,0.48,1,1,0,0
27.115306854999996,0.48,1,0,0,0
27.123647459999997,0.48,0,0,0,0
27.131988064999998,0.48,0,0,0,0
27.14032867,-0.48,0,0,0,1
27.148669274999996,0.48,0,0,1,1
27.157009879999997,-0.48,0,0,1,1
27.165350484999998,0.48,0,0,1,0
27.17369109,0.48,0,0,0,0
27.182031695,0.48,0,0,0,0
27.190372299999996,0.48,0,0,0,0
27.198712904999997,-0.48,0,0,1,1
27.207053509999998,-0.48,0,0,1,1
27.215394115,0.48,0,0,0,1
27.223734719999996,0.48,0,1,0,0
27.232075324999997,0.48,1,0,0,0
27.240415929999998,0.48,0,0,0,0
27.248756535,-0.48,0,0,0,0
27.25709714,0.48,0,0,1,1
27.265437744999996,-0.48,0,0,0,0
27.273778349999997,-0.48,0,0,0,0
27.282118954999998,0.48,0,0,0,0
27.29045956,-0.48,1,1,0,0
27.298800164999996,-0.48,0,0,0,0
27.307140769999997,-0.48,1,1,0,0
27.315481374999997,0.48,1,1,0,0
27.323821979999998,-0.48,1,0,0,0
27.332162585,0.48,0,0,0,0
27.340503189999996,0.48,0,0,0,0
27.348843794999997,0.48,0,0,0,0
27.357184399999998,0.48,0,0,1,0
27.365525005,-0.48,0,0,1,1
27.373865609999996,-0.48,0,0,1,1
27.382206214999997,0.48,0,0,1,1
27.390546819999997,-0.48,0,0,0,0
27.398887424999998,-0.48,0,1,0,0
27.40722803,0.48,0,0,0,0
27.415568634999996,-0.48,0,1,0,0
27.423909239999997,-0.48,0,0,0,0
27.432249844999998,-0.48,1,0,0,0
27.44059045,0.48,1,1,0,0
27.448931054999996,0.48,1,1,0,0
27.457271659999996,0.48,0,0,0,0
27.465612264999997,0.48,0,0,0,0
27.473952869999998,0.48,0,0,1,1
27.482293475,-0.48,0,0,1,1
27.490634079999996,-0.48,0,0,1,1
27.498974684999997,-0.48,0,0,1,0
27.507315289999998,0.48,0,0,0,0
27.515655895,-0.48,1,0,0,0
27.5239965,-0.48,0,0,0,0
27.532337104999996,-0.48,0,0,0,0
27.540677709999997,-0.48,1,1,0,0
27.549018314999998,-0.48,0,0,0,0
27.55735892,-0.48,1,0,0,0
27.565699524999996,0.48,1,0,0,0
27.574040129999997,0.48,0,0,0,0
27.582380734999997,0.48,0,0,0,0
27.590721339999998,0.48,0,0,0,0
27.599061945,0.48,0,0,1,1
27.607402549999996,0.48,0,0,1,1
27.615743154999997,0.48,0,0,1,1
27.624083759999998,0.48,0,0,1,0
27.632424365,0.48,0,0,1,0
27.640764969999996,0.48,0,0,0,0
27.649105574999997,-0.48,0,0,1,1
27.657446179999997,-0.48,0,0,0,0
27.665786784999998,0.48,0,0,0,0
27.67412739,0.48,1,1,0,0
27.682467994999996,0.48,0,0,0,0
27.690808599999997,-0.48,0,0,0,0
27.699149204999998,-0.48,0,0,0,1
27.70748981,-0.48,0,0,0,1
27.715830414999996,0.48,1,0,0,0
27.724171019999996,0.48,0,0,0,0
27.732511624999997,-0.48,0,0,0,0
27.740852229999998,0.48,0,0,0,0
27.749192835,0.48,0,0,0,1
27.757533439999996,-0.48,0,0,0,0
27.765874044999997,-0.48,0,0,0,0
27.774214649999998,-0.48,0,0,1,0
27.782555255,-0.48,0,0,0,0
27.790895859999996,0.48,1,0,0,0
27.799236464999996,0.48,0,0,0,0
27.807577069999997,0.48,0,0,0,0
27.815917674999998,0.48,0,0,0,0
27.82425828,-0.48,0,0,1,1
27.832598884999996,-0.48,0,0,1,1
27.840939489999997,0.48,0,0,1,1
27.849280094999997,-0.48,0,0,0,0
27.8576207,-0.48,0,1,0,0
27.865961305,0.48,0,0,0,0
27.874301909999996,-0.48,0,1,0,0
27.882642514999997,-0.48,1,0,0,0
27.890983119999998,0.48,0,0,0,0
27.899323725,-0.48,1,0,0,0
27.907664329999996,0.48,1,0,0,0
27.916004934999997,-0.48,0,0,0,0
27.924345539999997,0.48,0,0,0,0
27.932686144999998,-0.48,0,0,0,0
27.94102675,-0.48,0,0,1,0
27.949367354999996,0.48,0,0,0,0
27.957707959999997,0.48,0,0,0,0
27.966048564999998,0.48,0,0,0,0
27.97438917,-0.48,0,0,0,0
27.982729774999996,-0.48,0,0,0,1
27.991070379999996,0.48,0,0,1,1
27.999410984999997,-0.48,0,0,1,0
28.007751589999998,0.48,0,1,0,0
28.016092195,-0.48,0,0,0,0
28.024432799999996,0.48,0,0,0,0
28.032773404999997,-0.48,0,0,0,0
28.041114009999998,-0.48,0,0,0,0
28.049454615,0.48,0,0,0,0
28.057795219999996,-0.48,1,1,0,0
28.066135824999996,0.48,1,1,0,0
28.074476429999997,-0.48,0,0,0,0
28.082817034999998,0.48,0,0,0,0
28.09115764,-0.48,0,0,0,0
28.099498244999996,0.48,0,0,0,0
28.107838849999997,0.48,0,0,0,0
28.116179454999997,0.48,0,0,0,0
28.12452006,0.48,0,0,1,1
28.132860665,-0.48,0,0,1,1
28.141201269999996,-0.48,0,0,1,1
28.149541874999997,-0.48,0,0,0,0
28.157882479999998,-0.48,0,1,0,0
28.166223085,0.48,1,1,0,0
28.174563689999996,0.48,1,1,0,0
28.182904294999997,0.48,0,0,0,0
28.191244899999997,0.48,0,0,0,0
28.199585504999998,0.48,0,0,0,1
28.20792611,0.48,0,0,1,1
28.216266714999996,0.48,0,0,1,1
28.224607319999997,0.48,0,0,1,0
28.232947924999998,0.48,0,0,1,0
28.24128853,0.48,0,0,1,0
28.249629134999996,-0.48,0,0,0,0
28.257969739999997,0.48,0,0,0,0
28.266310344999997,-0.48,0,0,0,0
28.274650949999998,-0.48,0,1,0,0
28.282991555,-0.48,1,0,0,0
28.291332159999996,0.48,1,1,0,0
28.299672764999997,-0.48,1,1,0,0
28.308013369999998,-0.48,0,0,0,0
28.316353975,-0.48,0,0,0,0
28.324694579999996,-0.48,1,1,0,0
28.333035184999996,-0.48,1,0,0,0
28.341375789999997,-0.48,1,1,0,0
28.349716394999998,0.48,0,0,0,0
28.358057,0.48,0,1,1,0
28.366397604999996,-0.48,0,0,0,0
28.374738209999997,-0.48,0,0,0,0
28.383078814999998,0.48,0,0,1,1
28.39141942,0.48,0,0,0,1
28.399760024999996,0.48,0,0,0,0
28.408100629999996,-0.48,0,0,0,0
28.416441234999997,-0.48,0,0,1,0
28.424781839999998,0.48,0,0,1,1
28.433122445,-0.48,0,0,0,0
28.441463049999996,-0.48,0,0,0,0
28.449803654999997,0.48,0,0,0,0
28.458144259999997,-0.48,1,0,0,0
28.466484864999998,0.48,0,1,0,0
28.47482547,0.48,0,0,0,0
28.483166074999996,0.48,0,0,0,0
28.491506679999997,0.48,0,0,0,0
28.499847284999998,0.48,0,0,1,1
28.50818789,-0.48,0,0,1,1
28.516528494999996,0.48,0,0,1,0
28.524869099999997,0.48,0,0,1,0
28.533209704999997,0.48,0,0,1,0
28.541550309999998,0.48,0,0,0,0
28.549890915,0.48,0,0,0,0
28.558231519999996,-0.48,0,0,1,1
28.566572124999997,0.48,0,0,0,0
28.574912729999998,0.48,0,0,1,0
28.583253335,0.48,0,1,0,0
28.591593939999996,0.48,0,0,0,0
28.599934544999996,-0.48,0,0,0,0
28.608275149999997,0.48,0,0,1,1
28.616615754999998,-0.48,0,0,0,0
28.62495636,0.48,0,1,0,0
28.633296964999996,0.48,1,0,0,0
28.641637569999997,0.48,0,0,0,0
28.649978174999998,0.48,0,0,0,0
28.65831878,0.48,0,0,0,1
28.666659384999996,-0.48,0,0,1,1
28.674999989999996,0.48,0,0,1,0
28.683340594999997,-0.48,0,0,0,0
28.691681199999998,0.48,0,0,0,0
28.700021805,-0.48,1,0,0,0
28.708362409999996,-0.48,0,1,0,0
28.716703014999997,-0.48,0,0,0,0
28.725043619999997,0.48,1,1,0,0
28.733384225,0.48,1,0,0,0
28.74172483,0.48,0,0,0,0
28.750065434999996,-0.48,0,0,0,0
28.758406039999997,-0.48,0,0,0,1
28.766746644999998,-0.48,0,0,1,1
28.77508725,-0.48,1,1,0,0
28.783427854999996,-0.48,0,1,0,0
28.791768459999997,0.48,1,1,0,0
28.800109064999997,0.48,0,0,0,0
28.808449669999998,-0.48,0,0,0,0
28.816790275,-0.48,0,0,0,0
28.825130879999996,0.48,0,0,0,0
28.833471484999997,-0.48,0,0,1,0
28.841812089999998,-0.48,0,0,1,0
28.850152695,-0.48,0,0,0,0
28.858493299999996,0.48,0,0,0,0
28.866833904999996,-0.48,1,1,1,0
28.875174509999997,-0.48,0,0,0,0
28.883515114999998,-0.48,0,0,0,0
28.89185572,-0.48,1,0,0,0
28.900196324999996,-0.48,1,1,0,0
28.908536929999997,-0.48,0,0,0,0
28.916877534999998,-0.48,1,0,1,0
28.92521814,-0.48,1,0,0,0
28.933558744999996,0.48,1,1,1,0
28.941899349999996,-0.48,1,0,0,0
28.950239954999997,-0.48,0,0,0,0
28.958580559999998,-0.48,0,0,0,0
28.966921165,0.48,0,0,0,0
28.975261769999996,0.48,0,1,0,0
28.983602374999997,0.48,0,0,0,0
28.991942979999997,-0.48,0,0,0,0
29.000283585,0.48,0,0,1,1
29.008624189999995,0.48,0,0,1,1
29.016964794999996,0.48,0,0,0,1
29.025305399999997,-0.48,0,0,1,0
29.033646004999998,-0.48,0,0,0,0
29.04198661,-0.48,0,0,1,1
29.050327214999996,0.48,0,1,0,0
29.058667819999997,0.48,1,1,0,0
29.067008424999997,-0.48,0,0,0,0
29.075349029999998,-0.48,0,0,0,0
29.083689635,0.48,0,0,0,1
29.092030239999996,0.48,1,0,0,1
29.100370844999997,-0.48,0,1,0,0
29.108711449999998,-0.48,0,0,0,0
29.117052055,-0.48,0,0,0,1
29.125392659999996,-0.48,0,0,1,1
29.133733264999996,0.48,1,1,0,0
29.142073869999997,-0.48,0,0,0,0
29.150414474999998,-0.48,0,0,0,0
29.15875508,-0.48,0,0,0,0
29.167095684999996,-0.48,1,0,0,0
29.175436289999997,-0.48,1,0,1,0
29.183776894999998,0.48,1,1,0,0
29.1921175,-0.48,1,0,1,0
29.200458104999996,-0.48,0,0,0,0
29.208798709999996,0.48,0,0,0,0
29.217139314999997,0.48,0,0,0,0
29.225479919999998,0.48,0,0,0,0
29.233820525,0.48,0,0,1,0
29.242161129999996,0.48,0,0,1,1
29.250501734999997,0.48,0,0,1,1
29.258842339999998,-0.48,0,0,1,0
29.267182945,0.48,0,0,1,0
29.275523549999996,-0.48,0,0,1,0
29.283864154999996,0.48,0,0,0,0
29.292204759999997,0.48,0,0,0,0
29.300545364999998,0.48,0,0,0,0
29.30888597,-0.48,0,0,0,0
29.317226574999996,-0.48,0,0,0,1
29.325567179999997,-0.48,0,0,1,1
29.333907784999997,0.48,1,1,0,0
29.342248389999998,-0.48,0,0,0,0
29.350588995,-0.48,1,0,0,0
29.358929599999996,-0.48,1,0,0,0
29.367270204999997,0.48,1,1,0,0
29.375610809999998,-0.48,0,1,0,0
29.383951415,0.48,0,0,0,0
29.392292019999996,0.48,0,0,0,0
29.400632624999997,0.48,0,0,0,0
29.408973229999997,0.48,0,0,1,1
29.417313834999998,-0.48,0,0,1,1
29.42565444,0.48,0,0,1,1
29.433995044999996,0.48,0,0,1,0
29.442335649999997,-0.48,0,0,1,0
29.450676254999998,-0.48,0,0,0,0
29.45901686,-0.48,0,0,0,0
29.467357464999996,-0.48,1,1,0,0
29.475698069999996,-0.48,1,0,0,0
29.484038674999997,-0.48,1,1,0,0
29.492379279999998,0.48,0,0,0,0
29.500719885,0.48,1,0,0,0
29.509060489999996,-0.48,0,0,0,0
29.517401094999997,0.48,0,0,0,0
29.525741699999998,0.48,0,0,0,1
29.534082305,0.48,0,0,1,1
29.542422909999996,0.48,0,0,1,1
29.550763514999996,-0.48,0,0,1,1
29.559104119999997,-0.48,0,0,1,1
29.567444724999998,0.48,0,0,0,0
29.57578533,-0.48,0,1,0,0
29.584125934999996,0.48,0,0,0,0
29.592466539999997,-0.48,0,0,0,0
29.600807144999997,0.48,0,0,0,0
29.609147749999998,-0.48,0,0,0,0
29.617488354999995,-0.48,0,0,0,0
29.625828959999996,-0.48,0,0,0,0
29.634169564999997,0.48,1,1,0,0
29.642510169999998,0.48,1,0,0,0
29.650850775,0.48,0,0,0,0
29.659191379999996,-0.48,0,0,0,0
29.667531984999997,0.48,0,0,1,1
29.675872589999997,-0.48,0,0,1,1
29.684213194999998,0.48,0,0,1,1
29.6925538,0.48,0,0,0,0
29.700894404999996,-0.48,0,0,0,0
29.709235009999997,0.48,0,0,0,0
29.717575614999998,0.48,0,0,1,0
29.72591622,0.48,0,0,0,0
29.734256824999996,0.48,0,0,0,0
29.742597429999996,-0.48,0,0,1,1
29.750938034999997,0.48,0,0,1,1
29.759278639999998,-0.48,0,0,1,0
29.767619245,-0.48,0,0,0,0
29.775959849999996,-0.48,0,1,0,0
29.784300454999997,0.48,1,1,0,0
29.792641059999998,-0.48,1,0,0,0
29.800981665,-0.48,0,0,0,0
29.809322269999996,0.48,1,0,0,0
29.817662874999996,0.48,1,1,0,0
29.826003479999997,0.48,0,0,0,0
29.834344084999998,-0.48,0,0,0,0
29.84268469,-0.48,0,0,1,1
29.851025294999996,0.48,0,0,1,1
29.859365899999997,-0.48,0,0,1,0
29.867706504999997,0.48,0,1,0,0
29.87604711,0.48,0,0,0,0
29.884387714999995,-0.48,0,0,0,0
