"Offense","Offense Conference","Defense","Defense Conference","Game Id","Id","Drive Number","Scoring","Start Period","Start Yardline","Start Yards To Goal","Start Time Minutes","Start Time Seconds","End Period","End Yardline","End Yards To Goal","End Time Minutes","End Time Seconds","Elapsed Minutes","Elapsed Seconds","Plays","Yards","Drive Result","Is Home Offense","Start Offense Score","Start Defense Score","End Offense Score","End Defense Score"
"Indiana","Big Ten","Michigan","Big Ten","401520321","4015203219","9","false","2","75","75","3","24","2","81","81","1","40","1","44","3","-6","PUNT","false","7","14","7","14"
"Michigan","Big Ten","Indiana","Big Ten","401520321","40152032110","10","true","2","54","46","1","40","2","100","0","0","11","1","29","6","46","TD","true","14","7","21","7"
"Indiana","Big Ten","Michigan","Big Ten","401520321","40152032111","11","false","2","89","89","0","5","2","90","90","0","0","0","5","1","-1","END OF HALF","false","7","21","7","21"
"Michigan","Big Ten","Indiana","Big Ten","401520321","40152032112","12","true","3","35","65","14","53","3","100","0","12","22","2","31","4","65","TD","true","21","7","28","7"
"Indiana","Big Ten","Michigan","Big Ten","401520321","40152032113","13","false","3","75","75","12","22","3","88","88","10","46","1","36","3","-13","PUNT","false","7","28","7","28"
"Michigan","Big Ten","Indiana","Big Ten","401520321","40152032114","14","true","3","48","52","10","46","3","100","0","8","28","2","18","5","52","TD","true","28","7","35","7"
"Indiana","Big Ten","Michigan","Big Ten","401520321","40152032115","15","false","3","75","75","8","28","3","85","85","7","38","0","50","3","-10","FUMBLE","false","7","35","7","35"
"Michigan","Big Ten","Indiana","Big Ten","401520321","40152032116","16","true","3","85","15","7","38","3","90","10","5","18","2","20","4","5","FG","true","35","7","38","7"
"Indiana","Big Ten","Michigan","Big Ten","401520321","40152032117","17","false","3","75","75","5","18","3","49","49","0","49","4","29","11","26","DOWNS","false","7","38","7","38"
"Michigan","Big Ten","Indiana","Big Ten","401520321","40152032118","18","true","3","49","51","0","49","4","100","0","12","2","3","47","8","51","TD","true","38","7","45","7"
"Indiana","Big Ten","Michigan","Big Ten","401520321","40152032119","19","false","4","75","75","12","2","4","80","80","11","46","0","16","1","-5","INT","false","7","45","7","45"
"Michigan","Big Ten","Indiana","Big Ten","401520321","40152032120","20","true","4","64","36","11","46","4","100","0","6","3","5","43","9","36","TD","true","45","7","52","7"
"Indiana","Big Ten","Michigan","Big Ten","401520321","40152032121","21","false","4","82","82","5","57","4","31","31","0","6","5","51","13","51","DOWNS","false","7","52","7","52"
"Michigan","Big Ten","Indiana","Big Ten","401520321","40152032122","22","false","4","31","69","0","6","4","37","63","0","0","0","6","1","6","END OF GAME","true","52","7","52","7"
"Michigan","Big Ten","Michigan State","Big Ten","401520340","4015203401","1","true","1","84","84","14","55","1","0","0","8","50","6","5","12","84","TD","false","0","0","7","0"
"Michigan State","Big Ten","Michigan","Big Ten","401520340","4015203402","2","false","1","25","75","8","50","1","51","49","4","47","4","3","7","26","DOWNS","true","0","7","0","7"
"Michigan","Big Ten","Michigan State","Big Ten","401520340","4015203403","3","true","1","51","51","4","47","1","0","0","1","55","2","52","5","51","TD","false","7","0","14","0"
"Michigan State","Big Ten","Michigan","Big Ten","401520340","4015203404","4","false","1","25","75","1","55","1","20","80","0","54","1","1","3","-5","PUNT","true","0","14","0","14"
"Michigan","Big Ten","Michigan State","Big Ten","401520340","4015203405","5","true","1","66","66","0","54","2","0","0","10","44","5","10","11","66","TD","false","14","0","21","0"
"Michigan State","Big Ten","Michigan","Big Ten","401520340","4015203406","6","false","2","25","75","10","44","2","31","69","9","41","1","3","3","6","PUNT","true","0","21","0","21"
"Michigan","Big Ten","Michigan State","Big Ten","401520340","4015203407","7","false","2","79","79","9","41","2","70","70","7","54","1","47","3","9","PUNT","false","21","0","21","0"
"Michigan State","Big Ten","Michigan","Big Ten","401520340","4015203408","8","false","2","18","82","7","54","2","21","79","6","53","1","1","3","3","PUNT","true","0","21","0","21"
"Michigan","Big Ten","Michigan State","Big Ten","401520340","4015203409","9","true","2","48","48","6","53","2","0","0","2","54","3","59","7","48","TD","false","21","0","28","0"
"Michigan State","Big Ten","Michigan","Big Ten","401520340","40152034010","10","false","2","25","75","2","54","2","31","69","1","39","1","15","5","6","PUNT","true","0","28","0","28"
"Michigan","Big Ten","Michigan State","Big Ten","401520340","40152034011","11","false","2","80","80","1","39","2","156","156","0","0","1","39","10","76","Uncategorized","false","28","0","28","0"
"Michigan State","Big Ten","Michigan","Big Ten","401520340","40152034012","12","true","3","25","75","15","0","3","58","42","9","49","5","11","9","33","INT TD","true","0","28","0","35"
"Michigan State","Big Ten","Michigan","Big Ten","401520340","40152034013","13","false","3","15","85","9","43","3","21","79","7","50","1","53","3","6","PUNT","true","0","35","0","35"
"Michigan","Big Ten","Michigan State","Big Ten","401520340","40152034014","14","true","3","65","65","7","50","3","0","0","6","44","1","6","3","65","TD","false","35","0","42","0"
"Michigan State","Big Ten","Michigan","Big Ten","401520340","40152034015","15","false","3","25","75","6","44","3","34","66","5","16","1","28","3","9","PUNT","true","0","42","0","42"
"Michigan","Big Ten","Michigan State","Big Ten","401520340","40152034016","16","false","3","86","86","5","16","3","79","79","3","45","1","31","3","7","PUNT","false","42","0","42","0"
"Michigan State","Big Ten","Michigan","Big Ten","401520340","40152034017","17","false","3","31","69","3","45","3","56","44","0","37","3","8","7","25","PUNT","true","0","42","0","42"
"Michigan","Big Ten","Michigan State","Big Ten","401520340","40152034018","18","false","3","90","90","0","37","4","64","64","10","22","5","15","7","26","PUNT","false","42","0","42","0"
"Michigan State","Big Ten","Michigan","Big Ten","401520340","40152034019","19","false","4","22","78","10","22","4","80","20","5","20","5","2","13","58","DOWNS","true","0","42","0","42"
"Michigan","Big Ten","Michigan State","Big Ten","401520340","40152034020","20","false","4","80","80","5","20","4","71","71","3","20","2","0","3","9","PUNT","false","42","0","42","0"
"Michigan State","Big Ten","Michigan","Big Ten","401520340","40152034021","21","false","4","26","74","3","20","4","26","74","3","10","0","10","1","0","INT","true","0","42","0","42"
"Michigan","Big Ten","Michigan State","Big Ten","401520340","40152034022","22","true","4","33","33","3","10","4","0","0","0","8","3","2","5","33","TD","false","42","0","49","0"
"Michigan State","Big Ten","Michigan","Big Ten","401520340","40152034023","23","false","4","25","75","0","8","4","25","75","0","0","0","8","1","0","END OF GAME","true","0","49","0","49"
"Purdue","Big Ten","Michigan","Big Ten","401520368","4015203681","1","false","1","88","88","14","55","1","75","75","13","33","1","22","4","13","PUNT","false","0","0","0","0"
"Michigan","Big Ten","Purdue","Big Ten","401520368","4015203682","2","true","1","24","76","13","33","1","100","0","10","30","3","3","6","76","TD","true","0","0","7","0"
"Purdue","Big Ten","Michigan","Big Ten","401520368","4015203683","3","false","1","75","75","10","30","1","71","71","9","19","1","11","3","4","PUNT","false","0","7","0","7"
"Michigan","Big Ten","Purdue","Big Ten","401520368","4015203684","4","true","1","33","67","9","19","1","100","0","6","5","3","14","7","67","TD","true","7","0","14","0"
"Purdue","Big Ten","Michigan","Big Ten","401520368","4015203685","5","false","1","75","75","6","5","1","75","75","5","54","0","11","1","0","INT","false","0","14","0","14"
"Michigan","Big Ten","Purdue","Big Ten","401520368","4015203686","6","true","1","88","12","5","54","1","88","12","4","20","1","34","4","0","FG","true","14","0","17","0"
"Purdue","Big Ten","Michigan","Big Ten","401520368","4015203687","7","false","1","75","75","4","20","1","69","69","2","29","1","51","3","6","PUNT","false","0","17","0","17"
"Michigan","Big Ten","Purdue","Big Ten","401520368","4015203688","8","false","1","21","79","2","29","2","48","52","14","1","3","28","8","27","PUNT","true","17","0","17","0"
"Purdue","Big Ten","Michigan","Big Ten","401520368","4015203689","9","false","2","90","90","14","1","2","40","40","11","42","2","19","6","50","PUNT","false","0","17","0","17"
"Michigan","Big Ten","Purdue","Big Ten","401520368","40152036810","10","true","2","20","80","11","42","2","87","13","7","10","4","32","10","67","FG","true","17","0","20","0"
"Purdue","Big Ten","Michigan","Big Ten","401520368","40152036811","11","false","2","75","75","7","10","2","71","71","5","12","1","58","3","4","PUNT","false","0","20","0","20"
"Purdue","Big Ten","Michigan","Big Ten","401520368","40152036812","12","true","2","34","34","5","12","2","15","15","3","52","1","20","6","19","FG","false","0","20","3","20"
"Michigan","Big Ten","Purdue","Big Ten","401520368","40152036813","13","false","2","25","75","3","52","2","34","66","2","17","1","35","4","9","DOWNS","true","20","3","20","3"
"Purdue","Big Ten","Michigan","Big Ten","401520368","40152036814","14","true","2","34","34","2","17","2","14","14","0","29","1","48","6","20","FG","false","3","20","6","20"
"Michigan","Big Ten","Purdue","Big Ten","401520368","40152036815","15","false","2","22","78","0","23","2","39","61","0","0","0","23","4","17","END OF HALF","true","20","6","20","6"
"Michigan","Big Ten","Purdue","Big Ten","401520368","40152036816","16","false","3","25","75","15","0","3","44","56","11","18","3","42","6","19","PUNT","true","20","6","20","6"
"Purdue","Big Ten","Michigan","Big Ten","401520368","40152036817","17","false","3","88","88","11","18","3","81","81","9","59","1","19","3","7","PUNT","false","6","20","6","20"
"Michigan","Big Ten","Purdue","Big Ten","401520368","40152036818","18","false","3","45","55","9","59","3","47","53","8","59","1","0","3","2","PUNT","true","20","6","20","6"
"Purdue","Big Ten","Michigan","Big Ten","401520368","40152036819","19","false","3","95","95","8","59","3","75","75","5","16","3","43","5","20","PUNT","false","6","20","6","20"
"Michigan","Big Ten","Purdue","Big Ten","401520368","40152036820","20","true","3","38","62","5","16","3","100","0","3","12","2","4","4","62","TD","true","20","6","27","6"
"Purdue","Big Ten","Michigan","Big Ten","401520368","40152036821","21","false","3","75","75","3","12","3","70","70","2","6","1","6","3","5","PUNT","false","6","27","6","27"
