state,county,trump16,clinton16,otherpres16,romney12,obama12,otherpres12,demsen16,repsen16,othersen16,demhouse16,rephouse16,otherhouse16,demgov16,repgov16,othergov16,repgov14,demgov14,othergov14,total_population,cvap,white_pct,black_pct,hispanic_pct,nonwhite_pct,foreignborn_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,lesshs_pct,lesscollege_pct,lesshs_whites_pct,lesscollege_whites_pct,rural_pct,ruralurban_cc,fips
New York,Wayne,23380,13473,2834,17248,15732,4567,19704.0,17929.0,2376.0,11898.0,25753.0,2358.0,,,,15811.0,6610.0,1024.0,91874.0,70855.0,90.3520038313342,3.04874066656508,4.10562291834469,9.64799616866578,2.67322637525306,50.4604131745652,35.6020201580425,16.49650608442,51627.0,7.02814266979124,10.0197201615175,78.7836103546499,9.03041024345043,78.5291887793783,60.6972230516572,1.0,36117
New York,Westchester,131238,272926,16491,131139,234778,22530,287893.0,108127.0,28035.0,281805.0,14939.0,127311.0,,,,86493.0,114533.0,6146.0,969229.0,634370.0,54.9477987142357,13.4668896617827,23.6108288134177,45.0522012857643,25.5264751673753,51.679530843588,37.3255443244063,15.6468698315878,86226.0,7.05126180474401,12.3972641062903,52.696349369332,5.79962216266647,42.1063785247804,3.2734774468372,1.0,36119
New York,Wyoming,12442,3904,952,9248,5357,1730,7756.0,8843.0,902.0,3624.0,12983.0,894.0,,,,8318.0,2307.0,312.0,41239.0,32645.0,89.8857877252116,5.16016392250055,3.20570333907224,10.1142122747884,1.80411746162613,45.8304032590509,35.1948398360775,15.5120153252989,53612.0,7.13675857566169,11.8910690121786,85.0033829499323,9.62528657871989,84.1470289773368,64.0825524848772,6.0,36121
New York,Yates,5660,3659,747,4269,4259,914,5205.0,4297.0,719.0,3416.0,6118.0,687.0,,,,4343.0,2068.0,329.0,25106.0,18960.0,95.2919620807775,0.732892535648849,2.06325181231578,4.70803791922249,2.44164741496057,51.7645184418067,39.7554369473433,18.2307018242651,50105.0,7.17856264852905,14.8229280759401,76.8406961178046,14.4353169875212,76.7166238163918,71.22455420546,1.0,36123
North Carolina,Alamance,38815,29833,2509,38170,28875,731,28859.0,39366.0,2367.0,28979.0,40300.0,0.0,32017.0,37488.0,1282.0,,,,156372.0,112290.0,65.5130074437879,18.4265725321669,12.0731332975213,34.4869925562121,8.13828562658276,52.4518455989563,38.8867572199627,16.0143759752385,43209.0,6.92429082791271,15.2787166182701,77.9273575474842,10.573804968725,73.8904492476357,28.5580059683321,3.0,37001
North Carolina,Alexander,13893,3767,611,12253,4611,332,3896.0,13270.0,929.0,4368.0,13496.0,0.0,4648.0,13247.0,387.0,,,,37211.0,28575.0,87.3451398779931,5.73217596947139,4.46642121953186,12.6548601220069,2.69006476579506,49.0097014323721,34.9547176910053,18.4354088844696,40404.0,8.35273573923167,19.3822041313197,86.677825541142,18.2502628811777,85.9516298633018,72.7781063498037,2.0,37003
North Carolina,Alleghany,3814,1306,195,3390,1583,94,1337.0,3720.0,229.0,1458.0,3812.0,0.0,1643.0,3583.0,97.0,,,,10868.0,8420.0,87.5322046374678,2.41074714758925,9.33014354066986,12.4677953625322,5.46558704453441,50.3956569746043,29.6742730953257,23.721015826279,38352.0,6.5611330972714,18.960359012715,81.388681126901,17.8825136612022,79.8907103825137,100.0,9.0,37005
North Carolina,Anson,4506,5859,180,4166,7019,71,5793.0,4383.0,250.0,5726.0,4485.0,0.0,5851.0,4511.0,112.0,,,,25883.0,19945.0,45.0913727156821,48.7269636440907,3.63172738863347,54.9086272843179,3.35741606459839,47.5524475524476,37.0474829038365,16.0607348452652,34656.0,14.3664585793825,19.6149614961496,90.4730473047305,13.2186509732911,84.9705749207786,78.510464598486,6.0,37007
North Carolina,Ashe,9412,3500,512,8242,4116,252,3574.0,9255.0,511.0,4100.0,9208.0,0.0,4303.0,8836.0,288.0,,,,26992.0,21165.0,92.6126259632484,0.715026674570243,5.12003556609366,7.38737403675162,4.04193835210433,50.7187314759929,30.4349436870184,22.9030823947836,37360.0,7.60997875186905,16.6922050318818,80.470564974544,14.6714907451104,80.4624823029731,84.8649243062938,7.0,37009
North Carolina,Avery,6298,1689,262,5766,1882,111,1705.0,6071.0,318.0,1820.0,6124.0,0.0,1978.0,6023.0,188.0,,,,17633.0,14280.0,89.2134066806556,3.6919412465264,5.01332728406964,10.7865933193444,4.11160891510236,45.3354505756252,32.1896444167187,20.3992514036182,35891.0,7.95583238958097,21.0354015987819,80.1979444232965,19.1606147610201,78.3313629454484,88.7846266224645,8.0,37011
North Carolina,Beaufort,14543,8764,631,13977,9435,208,8436.0,14313.0,870.0,7486.0,15979.0,0.0,8855.0,14610.0,322.0,,,,47513.0,36275.0,65.9251152316208,25.2436175362532,7.47795340222676,34.0748847683792,3.76738997747985,52.1941363416328,33.2161724159704,21.6824868983226,40906.0,9.94781783681214,15.3569002687458,81.4358701751277,9.99333777481679,76.5198201199201,65.6002010092339,6.0,37013
North Carolina,Bertie,3456,5778,113,3387,6695,41,5590.0,3446.0,147.0,6089.0,2848.0,108.0,5504.0,3700.0,60.0,,,,20324.0,16345.0,34.5404447943318,61.8923440267664,1.93859476481008,65.4595552056682,1.63353670537296,48.8830938791576,33.0594371186774,19.6172013383192,31129.0,14.1544784237882,25.2040679780543,88.4584504215175,12.7549194991055,83.5599284436494,83.2440560097735,7.0,37015
